Address;CategoryID;Category;City;Customer Company;Shippers Company;Customer;Country;EmployeeID;Fax;OrderDate;OrderID;Phone;PostalCode;ProductID;Product;ShipperID;StateProvince;SupplierID;Discount;Freight;Quantity;QuantityPerUnit;UnitCost;UnitPrice;UnitPrice (Products);UnitsInStock;UnitsOnOrder;Sales;Profit;City and Counry
Berliner Platz 43;2;Овощи;Мюнхен;Мюнхенские традиции;ТрансАвтоГруз;Dieter K?ln;Австрия;8;089-0877451;20.11.2003;10337;089-0877310;80805;72;Перец болгарский;2;;14;0;76.43;25;30;авг.96;12.мар;11.авг;14;0;1124925;242975;Мюнхен, Австрия
Berliner Platz 43;3;Кондитерские изделия;Мюнхен;Мюнхенские традиции;ТрансАвтоГруз;Dieter K?ln;Англия;8;089-0877451;20.11.2003;10337;089-0877310;80805;26;Пирожное Восточное;2;;11;0;76.43;24;1;26.13;33.55;31.23;15;0;#ЗНАЧ!;#ЗНАЧ!;Мюнхен, Англия
Berliner Platz 43;5;Мясо/Птица;Мюнхен;Мюнхенские традиции;ТрансАвтоГруз;Dieter K?ln;Аргентина;8;089-0877451;20.11.2003;10337;089-0877310;80805;23;Индейка;2;;9;0;76.43;40;100;июл.43;9;9;61;0;360;-635160;Мюнхен, Аргентина
Berliner Platz 43;8;Приправы;Мюнхен;Мюнхенские традиции;ТрансАвтоГруз;Dieter K?ln;Бельгия;8;089-0877451;20.11.2003;10337;089-0877310;80805;36;Тмин;2;;17;0;76.43;20;20;июн.45;июл.99;8;112;0;726840;395060;Мюнхен, Бельгия
Berliner Platz 43;8;Приправы;Мюнхен;Мюнхенские традиции;ТрансАвтоГруз;Dieter K?ln;Бразилия;8;089-0877451;20.11.2003;10337;089-0877310;80805;37;Хмели-Сунели;2;;17;0;76.43;28;21;мар.43;03.сен;4;11;50;1264816;823368;Мюнхен, Бразилия
2817 Milton Dr.;1;Фрукты;Альбукерке;Фуд Стайл;ТрансАвтоГруз;Malcolm X;Венесуэла;2;(505) 555-3620;18.12.2003;10262;(505) 555-5939;87110;5;Яблоко;2;NM;2;0.2;33.19;12;100;апр.72;май.58;6;0;0;255672;-61008;Альбукерке, Венесуэла
2817 Milton Dr.;5;Мясо/Птица;Альбукерке;Фуд Стайл;ТрансАвтоГруз;Malcolm X;Германия;2;(505) 555-3620;18.12.2003;10262;(505) 555-5939;87110;56;Свинина;2;NM;26;0;33.19;2;15;34.17;34.55;38;21;10;#ЗНАЧ!;#ЗНАЧ!;Альбукерке, Германия
2817 Milton Dr.;7;Крупы;Альбукерке;Фуд Стайл;ТрансАвтоГруз;Malcolm X;Дания;2;(505) 555-3620;18.12.2003;10262;(505) 555-5939;87110;7;Гречневая крупа;2;NM;3;0;33.19;15;40;33.11;38.3;40;15;0;#ЗНАЧ!;#ЗНАЧ!;Альбукерке, Дания
ul. Filtrowa 68;1;Фрукты;Варшава;Продукты для Панов и Паночек;ТрансАвтоГруз;Boniekk Wallessa;Ирландия;8;(26) 642-7012;01.01.2004;10374;(26) 642-7012;01-012;31;Груша;2;;14;0;45.53;30;20;июл.53;09.ноя;08.май;0;70;1357170;770940;Варшава, Ирландия
ul. Filtrowa 68;8;Приправы;Варшава;Продукты для Панов и Паночек;ТрансАвтоГруз;Boniekk Wallessa;Испания;8;(26) 642-7012;01.01.2004;10374;(26) 642-7012;01-012;58;Бадьян;2;;27;0;45.53;15;20;37.17;51.57;48.25;62;0;#ЗНАЧ!;#ЗНАЧ!;Варшава, Испания
