Row ID;Order ID;Order Date;Ship Date;Ship Mode;Customer ID;Customer Name;Segment;City;State;Country;Postal Code;Market;Region;Product ID;Category;Sub-Category;Product Name;Sales;Quantity;Discount;Profit;Shipping Cost;Order Priority
51284;RS-2014-4620;14.08.2014;16.08.2014;Second Class;CR-2625;Corey Roper;Home Office;Astrakhan';Astrakhan';Russia;;EMEA;EMEA;FUR-SAU-10002255;Furniture;Bookcases;Sauder Classic Bookcase, Pine;3498.72;8;0;594.72;410.05;Medium
41299;RS-2014-4120;19.03.2014;23.03.2014;Second Class;RB-9465;Rick Bensley;Home Office;Rybinsk;Yaroslavl';Russia;;EMEA;EMEA;TEC-MOT-10003348;Technology;Phones;Motorola Smart Phone, Full Size;2570.76;4;0;976.8;357.89;Medium
50458;RS-2013-7430;15.08.2013;17.08.2013;Second Class;JL-5130;Jack Lebron;Consumer;Voronezh;Voronezh;Russia;;EMEA;EMEA;TEC-APP-10000308;Technology;Phones;Apple Smart Phone, Full Size;2544.84;4;0;712.44;299.4;Medium
50544;RS-2011-3350;14.02.2011;16.02.2011;Second Class;MM-8280;Muhammed MacIntyre;Corporate;Ufa;Bashkortostan;Russia;;EMEA;EMEA;TEC-CAN-10000932;Technology;Copiers;Canon Fax Machine, Color;1279.32;4;0;319.8;286.19;Critical
48487;RS-2011-7040;30.08.2011;30.08.2011;Same Day;JK-5730;Joe Kamberova;Consumer;Vladimir;Vladimir;Russia;;EMEA;EMEA;FUR-CHR-10002686;Furniture;Tables;Chromcraft Computer Table, Adjustable Height;1782.48;4;0;873.36;266.4;High
41450;RS-2011-8730;17.08.2011;19.08.2011;First Class;AS-285;Alejandro Savely;Corporate;Kaliningrad;Kaliningrad;Russia;;EMEA;EMEA;FUR-HAR-10004086;Furniture;Chairs;Harbour Creations Steel Folding Chair, Black;954.6;10;0;152.7;243.85;Critical
50963;RS-2014-5930;23.06.2014;23.06.2014;Same Day;TC-11145;Theresa Coyne;Corporate;Magnitogorsk;Chelyabinsk;Russia;;EMEA;EMEA;TEC-SAM-10000765;Technology;Phones;Samsung Signal Booster, Full Size;827.28;6;0;397.08;224.64;High
50372;RS-2011-4850;29.06.2011;04.07.2011;Standard Class;GZ-4545;George Zrebassa;Corporate;Blagoveshchensk;Amur;Russia;;EMEA;EMEA;FUR-BUS-10001243;Furniture;Bookcases;Bush Classic Bookcase, Pine;3312.24;8;0;1622.88;209.36;Medium
41883;RS-2011-2260;31.03.2011;31.03.2011;Same Day;NG-8430;Nathan Gelder;Consumer;Chelyabinsk;Chelyabinsk;Russia;;EMEA;EMEA;FUR-DAN-10002348;Furniture;Bookcases;Dania Classic Bookcase, Pine;824.22;2;0;255.48;200.09;Critical
43025;RS-2014-8080;23.06.2014;27.06.2014;Standard Class;CC-2370;Christopher Conant;Consumer;Chelyabinsk;Chelyabinsk;Russia;;EMEA;EMEA;OFF-ROG-10002294;Office Supplies;Storage;Rogers File Cart, Single Width;1136.64;8;0;181.68;182.73;High
47281;RS-2014-1940;15.05.2014;20.05.2014;Standard Class;PV-8985;Paul Van Hugh;Home Office;Makhachkala;Dagestan;Russia;;EMEA;EMEA;OFF-TEN-10000025;Office Supplies;Storage;Tenex Lockers, Blue;1224.9;6;0;318.42;170.85;High
41819;RS-2014-7690;29.01.2014;01.02.2014;Second Class;KB-6315;Karl Braun;Consumer;Makhachkala;Dagestan;Russia;;EMEA;EMEA;OFF-ELD-10000819;Office Supplies;Storage;Eldon Trays, Industrial;581.4;12;0;273.24;157.36;Critical
50086;RS-2012-7220;17.12.2012;19.12.2012;Second Class;GW-4605;Giulietta Weimer;Consumer;Arkhangelsk;Arkhangel'sk;Russia;;EMEA;EMEA;TEC-EPS-10001651;Technology;Machines;Epson Phone, White;635.04;8;0;241.2;150.05;Critical
46702;RS-2013-1850;18.06.2013;23.06.2013;Standard Class;MO-7800;Meg O'Connel;Home Office;Arzgir;Stavropol';Russia;;EMEA;EMEA;OFF-FEL-10002867;Office Supplies;Storage;Fellowes Lockers, Single Width;1658.88;8;0;282;147.64;Medium
43027;RS-2014-8080;23.06.2014;27.06.2014;Standard Class;CC-2370;Christopher Conant;Consumer;Chelyabinsk;Chelyabinsk;Russia;;EMEA;EMEA;FUR-SAF-10004530;Furniture;Bookcases;Safco Floating Shelf Set, Traditional;1180.44;6;0;519.3;142.51;High
44025;RS-2014-1460;31.12.2014;02.01.2015;Second Class;PB-9105;Peter B?hler;Consumer;Ufa;Bashkortostan;Russia;;EMEA;EMEA;TEC-HEW-10004652;Technology;Copiers;Hewlett Personal Copier, Laser;865.62;6;0;51.84;138.18;High
47280;RS-2014-1940;15.05.2014;20.05.2014;Standard Class;PV-8985;Paul Van Hugh;Home Office;Makhachkala;Dagestan;Russia;;EMEA;EMEA;FUR-NOV-10002655;Furniture;Chairs;Novimex Swivel Stool, Adjustable;1001.7;6;0;80.1;122.18;High
50543;RS-2011-3350;14.02.2011;16.02.2011;Second Class;MM-8280;Muhammed MacIntyre;Corporate;Ufa;Bashkortostan;Russia;;EMEA;EMEA;FUR-ELD-10004384;Furniture;Furnishings;Eldon Frame, Black;465;4;0;130.2;121.21;Critical
48482;RS-2011-7040;30.08.2011;30.08.2011;Same Day;JK-5730;Joe Kamberova;Consumer;Vladimir;Vladimir;Russia;;EMEA;EMEA;OFF-HOO-10003653;Office Supplies;Appliances;Hoover Stove, Silver;569.22;1;0;182.13;109.27;High
44156;RS-2013-1800;14.03.2013;20.03.2013;Standard Class;MN-7935;Michael Nguyen;Consumer;Kopeysk;Chelyabinsk;Russia;;EMEA;EMEA;OFF-BRE-10003295;Office Supplies;Appliances;Breville Microwave, Red;1810.26;6;0;162.9;100.37;Medium
41835;RS-2013-3300;08.11.2013;15.11.2013;Standard Class;PH-8790;Patricia Hirasaki;Home Office;Irkutsk;Irkutsk;Russia;;EMEA;EMEA;OFF-SME-10000746;Office Supplies;Storage;Smead Lockers, Industrial;1193.4;6;0;334.08;99.09;Medium
50095;RS-2013-2700;01.10.2013;06.10.2013;Standard Class;TB-11250;Tim Brockman;Consumer;Bryansk;Bryansk;Russia;;EMEA;EMEA;TEC-PAN-10003688;Technology;Machines;Panasonic Printer, Wireless;1065.96;4;0;266.4;98.49;Medium
49282;RS-2013-3450;14.06.2013;14.06.2013;Same Day;BT-1305;Beth Thompson;Home Office;Severodvinsk;Arkhangel'sk;Russia;;EMEA;EMEA;TEC-ENE-10004509;Technology;Accessories;Enermax Router, Programmable;259.83;1;0;106.53;98.37;High
47080;RS-2014-7520;08.04.2014;12.04.2014;Second Class;GG-4650;Greg Guthrie;Corporate;Ivanovo;Ivanovo;Russia;;EMEA;EMEA;TEC-HEW-10000365;Technology;Copiers;Hewlett Copy Machine, Laser;526.62;2;0;10.май;94.47;High
45584;RS-2013-2360;09.11.2013;13.11.2013;Standard Class;VP-11760;Victoria Pisteka;Corporate;Kaluga;Kaluga;Russia;;EMEA;EMEA;OFF-SME-10004702;Office Supplies;Storage;Smead File Cart, Industrial;770.4;6;0;215.64;93.92;High
43853;RS-2014-3790;17.12.2014;20.12.2014;Second Class;DP-3000;Darren Powers;Consumer;Kaluga;Kaluga;Russia;;EMEA;EMEA;TEC-APP-10002966;Technology;Phones;Apple Smart Phone, Full Size;637.5;1;0;178.5;91.69;Medium
50077;RS-2013-9770;27.04.2013;27.04.2013;Same Day;TB-11595;Troy Blackwell;Consumer;Chelyabinsk;Chelyabinsk;Russia;;EMEA;EMEA;OFF-TEN-10000433;Office Supplies;Storage;Tenex Lockers, Wire Frame;406.44;2;0;125.94;85.37;High
47279;RS-2014-1940;15.05.2014;20.05.2014;Standard Class;PV-8985;Paul Van Hugh;Home Office;Makhachkala;Dagestan;Russia;;EMEA;EMEA;FUR-SAU-10003933;Furniture;Bookcases;Sauder Classic Bookcase, Mobile;877.02;2;0;394.62;85.18;High
50545;RS-2011-3350;14.02.2011;16.02.2011;Second Class;MM-8280;Muhammed MacIntyre;Corporate;Ufa;Bashkortostan;Russia;;EMEA;EMEA;TEC-BRO-10002103;Technology;Copiers;Brother Ink, Color;297.48;2;0;145.74;82.46;Critical
50087;RS-2012-7220;17.12.2012;19.12.2012;Second Class;GW-4605;Giulietta Weimer;Consumer;Arkhangelsk;Arkhangel'sk;Russia;;EMEA;EMEA;TEC-EPS-10002523;Technology;Machines;Epson Card Printer, White;336.72;2;0;90.9;80.34;Critical
42170;RS-2014-2670;02.05.2014;04.05.2014;First Class;TB-11520;Tracy Blumstein;Consumer;Astrakhan';Astrakhan';Russia;;EMEA;EMEA;TEC-HEW-10004690;Technology;Copiers;Hewlett Fax and Copier, High-Speed;764.28;4;0;183.36;80.12;High
46228;RS-2011-2200;31.03.2011;02.04.2011;Second Class;PG-8895;Paul Gonzalez;Consumer;Yaroslavl';Yaroslavl';Russia;;EMEA;EMEA;OFF-HOO-10004243;Office Supplies;Appliances;Hoover Microwave, Black;616.14;2;0;61.56;79.47;Medium
49573;RS-2011-2850;03.08.2011;05.08.2011;Second Class;MW-8220;Mitch Webber;Consumer;Salavat;Bashkortostan;Russia;;EMEA;EMEA;OFF-HOO-10000445;Office Supplies;Appliances;Hoover Refrigerator, Black;525.69;1;0;162.96;79.42;High
