Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,City_Country,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Person,Returned,Sales_Target,Latitude,Longitude,Geo
1839,CA-2014-117345,01.08.2017,05.08.2017,Standard Class,BF-10975,Barbara Fisher,Corporate,United States,Charlotte,"Charlotte, North Carolina, United States",North Carolina,28205,South,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,44.13,4,0.20,12.14,Cassandra Brandow,No,48,35.227,-80.843,"[35.227,-80.843]"
1838,CA-2014-117345,01.08.2017,05.08.2017,Standard Class,BF-10975,Barbara Fisher,Corporate,United States,Charlotte,"Charlotte, North Carolina, United States",North Carolina,28205,South,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,17.54,3,0.20,5.92,Cassandra Brandow,No,152,35.227,-80.843,"[35.227,-80.843]"
1840,CA-2014-117345,01.08.2017,05.08.2017,Standard Class,BF-10975,Barbara Fisher,Corporate,United States,Charlotte,"Charlotte, North Carolina, United States",North Carolina,28205,South,OFF-AP-10001005,Office Supplies,Appliances,Honeywell Quietcare HEPA Air Cleaner,62.92,1,0.20,10.22,Cassandra Brandow,No,152,35.227,-80.843,"[35.227,-80.843]"
1841,CA-2014-117345,01.08.2017,05.08.2017,Standard Class,BF-10975,Barbara Fisher,Corporate,United States,Charlotte,"Charlotte, North Carolina, United States",North Carolina,28205,South,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,78.30,2,0.20,29.36,Cassandra Brandow,No,152,35.227,-80.843,"[35.227,-80.843]"
1206,CA-2017-133235,01.08.2020,04.08.2020,First Class,LH-16750,Larry Hughes,Consumer,United States,Charlotte,"Charlotte, North Carolina, United States",North Carolina,28205,South,TEC-PH-10002660,Technology,Phones,Nortel Networks T7316 E Nt8 B27,271.96,5,0.20,17.00,Cassandra Brandow,No,309,35.227,-80.843,"[35.227,-80.843]"
4069,CA-2014-102673,01.11.2017,05.11.2017,Standard Class,KH-16630,Ken Heidel,Corporate,United States,Charlotte,"Charlotte, North Carolina, United States",North Carolina,28205,South,TEC-PH-10004434,Technology,Phones,Cisco IP Phone 7961G VoIP phone - Dark gray,978.84,9,0.20,110.12,Cassandra Brandow,No,920,35.227,-80.843,"[35.227,-80.843]"
4066,CA-2014-102673,01.11.2017,05.11.2017,Standard Class,KH-16630,Ken Heidel,Corporate,United States,Charlotte,"Charlotte, North Carolina, United States",North Carolina,28205,South,OFF-FA-10003021,Office Supplies,Fasteners,Staples,7.52,5,0.20,1.41,Cassandra Brandow,No,248,35.227,-80.843,"[35.227,-80.843]"
4068,CA-2014-102673,01.11.2017,05.11.2017,Standard Class,KH-16630,Ken Heidel,Corporate,United States,Charlotte,"Charlotte, North Carolina, United States",North Carolina,28205,South,OFF-LA-10001771,Office Supplies,Labels,Avery 513,47.81,12,0.20,15.54,Cassandra Brandow,No,248,35.227,-80.843,"[35.227,-80.843]"
4067,CA-2014-102673,01.11.2017,05.11.2017,Standard Class,KH-16630,Ken Heidel,Corporate,United States,Charlotte,"Charlotte, North Carolina, United States",North Carolina,28205,South,OFF-AR-10000634,Office Supplies,Art,Newell 320,10.27,3,0.20,0.90,Cassandra Brandow,No,248,35.227,-80.843,"[35.227,-80.843]"
2411,CA-2014-162684,01.08.2017,06.08.2017,Standard Class,AS-10630,Ann Steele,Home Office,United States,Philadelphia,"Philadelphia, Pennsylvania, United States",Pennsylvania,19120,East,OFF-FA-10000992,Office Supplies,Fasteners,"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",5.68,2,0.20,1.92,Chuck Magee,No,5,39.952,-75.163,"[39.952,-75.163]"
4141,CA-2017-127313,01.12.2020,04.12.2020,First Class,RA-19285,Ralph Arnett,Consumer,United States,Philadelphia,"Philadelphia, Pennsylvania, United States",Pennsylvania,19120,East,FUR-FU-10003798,Furniture,Furnishings,"Ultra Door Kickplate, 8""H x 34""W",79.12,5,0.20,13.85,Chuck Magee,No,2804,39.952,-75.163,"[39.952,-75.163]"
4140,CA-2017-127313,01.12.2020,04.12.2020,First Class,RA-19285,Ralph Arnett,Consumer,United States,Philadelphia,"Philadelphia, Pennsylvania, United States",Pennsylvania,19120,East,OFF-ST-10001228,Office Supplies,Storage,Personal File Boxes with Fold-Down Carry Handle,37.39,3,0.20,2.34,Chuck Magee,No,365,39.952,-75.163,"[39.952,-75.163]"
7801,CA-2017-157413,01.06.2020,06.06.2020,Standard Class,BW-11065,Barry Weirich,Consumer,United States,Philadelphia,"Philadelphia, Pennsylvania, United States",Pennsylvania,19120,East,OFF-ST-10002756,Office Supplies,Storage,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",324.74,3,0.20,-77.13,Chuck Magee,No,,39.952,-75.163,"[39.952,-75.163]"
